a52dec 0.8.0-2
pambase 20230918-2
pango 1:1.54.0-1
pangomm 2.46.4-1
pangomm-2.48 2.54.0-1
parole 4.18.1-3
parted 3.6-2
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.0-1
perl 5.40.0-1
perl-clone 0.47-1
perl-data-dump 1.25-6
perl-encode-locale 1.05-13
perl-error 0.17029-7
perl-file-listing 6.16-4
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookiejar 0.014-3
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 6.46-2
perl-http-negotiate 6.01-14
perl-image-exiftool 12.96-1
perl-io-html 1.004-6
perl-io-socket-ssl 2.089-1
perl-json 4.10-2
perl-libwww 6.77-2
perl-log-message 0.08-11
perl-log-message-simple 0.10-11
perl-lwp-mediatypes 6.04-6
perl-lwp-protocol-https 6.14-2
perl-mailtools 2.21-9
perl-net-http 6.23-4
perl-net-ssleay 1.94-2
perl-term-readline-gnu 1.46-4
perl-term-ui 0.50-5
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-uri 5.29-1
perl-www-robotrules 6.02-14
picom 11.2-1
pinentry 1.3.1-5
pipewire 1:1.2.4-1
pixman 0.43.4-1
pkgconf 2.1.1-1
pluma 1.28.0-4
plymouth 24.004.60-9.1
podofo 0.10.3-1
polkit 125-1
polkit-gnome 0.105-11
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
poppler 24.09.0-2
poppler-data 0.4.12-2
poppler-glib 24.09.0-2
poppler-qt6 24.09.0-2
popt 1.19-2
portaudio 1:19.7.0-3
portsmf 234-3
potrace 1.16-3
powertop 2.15-2
ppp 2.5.0-3
prison 6.6.0-1
procps-ng 4.0.4-3
projectm 3.1.12-5
projectm-pulseaudio 3.1.12-5
projectm-sdl 3.1.12-5
protobuf 28.1-1
psmisc 23.7-1
pugixml 1.14-1
pulseaudio 17.0-3
pulseaudio-alsa 1:1.2.12-3
pulseaudio-bluetooth 17.0-3
pulseaudio-zeroconf 17.0-3
purpose 6.6.0-1
python 3.12.6-1
python-appdirs 1.4.4-10
python-autocommand 2.2.2-6
python-beautifulsoup4 4.12.3-2
python-bsddb 6.2.9-6
python-cachecontrol 1:0.14.0-3
python-cairo 1.27.0-1
python-certifi 2024.08.30-1
python-chardet 5.2.0-2
python-charset-normalizer 3.3.2-2
python-coverage 7.6.1-1
python-cssselect 1.2.0-6
python-dbus 1.3.2-4
python-distro 1.9.0-2
python-evdev 1.7.1-1
python-fastjsonschema 2.20.0-1
python-filelock 3.13.3-2
python-future 1.0.0-1
python-gobject 3.50.0-1
python-idna 3.8-1
python-jaraco.context 5.3.0-1
python-jaraco.functools 4.0.2-1
python-jaraco.text 4.0.0-1
python-lockfile 0.12.2-13
python-lxml 5.3.0-1
python-moddb 0.11.0-1
python-more-itertools 10.3.0-1
python-msgpack 1.0.5-2
python-musicbrainzngs 0.7.1-7
python-mutagen 1.47.0-2
python-numpy 2.1.1-1
python-opengl 3.1.7-1
python-ordered-set 4.1.0-5
python-packaging 24.1-1
python-pillow 10.4.0-1
python-platformdirs 4.2.2-1
python-pycryptodomex 3.20.0-1
python-pycurl 7.45.3-1
python-pyqt5 5.15.11-1
python-pyqt5-sip 12.15.0-1
python-pyserial 3.5-6
python-requests 2.32.3-1
python-setuptools 1:69.5.1-1
python-simplejson 3.19.2-4
python-six 1.16.0-9
python-soupsieve 2.6-1
python-tomli 2.0.1-4
python-trove-classifiers 2024.9.12-1
python-urllib3 1.26.20-1
python-validate-pyproject 0.19-1
python-yaml 6.0.2-1
python-zstandard 0.22.0-2
qca-qt5 2.3.9-2
qca-qt6 2.3.9-2
qpdf 11.9.1-1
qqc2-desktop-style 6.6.0-1
qrencode 4.1.1-3
qt5-base 5.15.15+kde+r127-1
qt5-declarative 5.15.15+kde+r25-1
qt5-imageformats 5.15.15+kde+r4-1
qt5-multimedia 5.15.15+kde+r2-1
qt5-speech 5.15.15+kde+r1-1
qt5-styleplugins 5.0.0.20170311-45
qt5-svg 5.15.15+kde+r5-1
qt5-translations 5.15.15-1
qt5-wayland 5.15.15+kde+r59-1
qt5-x11extras 5.15.15-1
qt6-5compat 6.7.2-1
qt6-base 6.7.2-2
qt6-declarative 6.7.2-1.1
qt6-imageformats 6.7.2-1
qt6-multimedia 6.7.2-1
qt6-multimedia-ffmpeg 6.7.2-1
qt6-networkauth 6.7.2-1
qt6-positioning 6.7.2-1
qt6-scxml 6.7.2-1
qt6-shadertools 6.7.2-1
qt6-speech 6.7.2-1
qt6-svg 6.7.2-1
qt6-translations 6.7.2-1
qt6-wayland 6.7.2-4
qt6-webchannel 6.7.2-1
qt6-webengine 6.7.2-3
qt6ct 0.9-9
qt6gtk2 0.2-3.9
qtkeychain-qt6 0.14.3-1
r-linux 5.6.175721-1
ragel 6.10-3.1
raptor 2.0.16-5
rasqal 1:0.9.33-7
rav1e 0.7.1-1
raw-thumbnailer 0.2.1-7
rdesktop 1.9.0-2
re2 1:20240702-2
readline 8.2.013-1
recode 3.7.14-2
redland 1:1.0.17-9
redshift 1.12-13
reiserfsprogs 3.6.27-5
ristretto 0.13.2-2
rnnoise 1:0.2-1
rpcbind 1.2.7-1.2
rpcbind-openrc 20210505-1
rsync 3.3.0-2
rsync-openrc 20210502-1
rtkit 0.13-3.1
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 3.3.0-2
run-parts 5.17-1
s-nail 14.9.24-2
sane 1.3.1-1
sbc 2.0-2
schedtool 1.3.0-7
scour 0.38.2-4
screen 5.0.0-1
scribus 1.6.2-4
scrot 1.11.1-1
sdl12-compat 1.2.68-2
sdl2 2.30.7-1
sdl_net 1.2.8-6
sdl_sound 1.0.3-12
seatd 0.8.0-2
sed 4.9-3
serd 0.32.2-1
serf 1.3.10-1
shaderc 2024.2-1
shadow 4.16.0-1
shairplay 20180824.096b61a-5
shared-mime-info 2.4-1
signon-kwallet-extension 24.08.1-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-2
signond 8.61-3
slang 2.3.3-2
smb4k 3.2.5-2
smbclient 2:4.21.0-2.1
snappy 1.1.10-1
sndio 1.10.0-1
sneedacity 3.0.2.r344.1-4
solid 6.6.0-1
solid5 5.116.0-1
songrec 0.4.2-4
sonnet 6.6.0-1
sonnet5 5.116.0-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-6
soundtouch 2.3.3-1
spandsp 0.0.6-5
spdlog 1.14.1-3
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 2024.2-1
sqlite 3.46.1-1
sratom 0.6.16-1
srt 1.5.3-2
startup-notification 0.12-8
steam 1.0.0.81-2
strace 6.11-1
subdl 1.1.2-4
subtitleeditor 0.54.0-5
subversion 1.14.3-2
sudo 1.9.16-1
suil 0.10.20-1
suitesparse 7.8.2-1
svt-av1 2.2.1-1
svt-hevc 1.5.1-3
syndication 6.6.0-1
syntax-highlighting 6.6.0-1
sysfsutils 2.1.1-2
taglib 2.0.2-1
talloc 2.4.2-3
tar 1.35-2
tdb 1.4.12-1
telegram-desktop 5.5.5-1
terminus-font 4.49.1-7
testdisk 7.2-1
tevent 1:0.16.1-3
texinfo 7.1.1-1
thin-provisioning-tools 1.1.0-1
threadweaver 6.6.0-1
thunar 4.18.11-2
thunar-archive-plugin 0.5.2-2
thunar-media-tags-plugin 0.4.0-3
thunar-volman 4.18.0-3
thunderbird 128.2.3-1
tigervnc 1.14.0-1.3
timeshift 24.06.3-1.1
tinysparql 3.8.0-1
tinyxml 2.6.2-11
tinyxml2 10.0.0-1
tmux 3.4-10
tor 0.4.8.12-1
torsocks 2.4.0-4
totem-pl-parser 3.26.6+r30+g51b8439-1
tpm2-tss 4.0.1-1
transmission-gtk 4.0.6-2
trizen 1.68-1.1
tslib 1.23-1
ttf-droid 20121017-11
ttf-inconsolata 1:3.000-4
ttf-liberation 2.1.5-2
ttf-roboto 2.138-5
ttf-roboto-mono 3.000-3
tumbler 4.18.2-2
twolame 0.4.0-4
tzdata 2024b-2
uchardet 0.0.8-3
udev 256.1-1
udisks2 2.10.1-5
ufw 0.36.2-4
unrar 1:7.0.9-1
unzip 6.0-21
upower 1.90.6-1
usbmuxd 1.1.1-4
usbutils 017-1
util-linux 2.40.2-1
util-linux-libs 2.40.2-1
v4l-utils 1.28.1-1
vamp-plugin-sdk 2.10.0-3
vapoursynth R69-1
vdpauinfo 1.5-2
veracrypt 1.26.15-1
verdict 1.4.2-1
vertex-themes 20170128-1
vi 1:070224-6
vid.stab 1.1.1-2
virtualbox-guest-iso 7.1.0-1
virtualbox-guest-utils 7.1.0-1
vkd3d 1.11-1
vmaf 3.0.0-1
volume_key 0.3.12-9
vte-common 0.78.0-1
vte3 0.78.0-1
vulkan-headers 1:1.3.295-1
vulkan-icd-loader 1.3.295-1
vulkan-intel 1:24.2.3-1
vulkan-mesa-layers 1:24.2.3-1
vulkan-radeon 1:24.2.3-1
vulkan-swrast 1:24.2.3-1
vulkan-tools 1.3.269-1
wavpack 5.7.0-1
wayland 1.23.1-1
waylandpp 1.0.0-3
webkit2gtk 2.46.0-2
webkit2gtk-4.1 2.46.0-2
webkitgtk-6.0 2.46.0-2
webp-pixbuf-loader 0.2.7-1
webrtc-audio-processing-1 1.3-3
which 2.21-6
wildmidi 0.4.6-1
wine 9.18-1
wine-gecko 2.47.4-2
wine-mono 9.3.0-1
winetricks 20240105-1
wireless-regdb 2024.07.04-2
wireless_tools 30.pre9-4
woff2 1.0.2-5
wpa_supplicant 2:2.11-2
wpa_supplicant-openrc 20210505-1
wxwidgets-common 3.2.6-1
wxwidgets-gtk3 3.2.6-1
x264 3:0.164.r3108.31e19f9-2
x265 3.6-1
xapp 2.8.5-1
xcb-proto 1.17.0-2
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcursor-premium 0.3-10
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.18.4-1
xdg-desktop-portal-gtk 1.15.1-2
xdg-user-dirs 0.18-2.1
xdg-utils 1.2.1-1
xf86-input-libinput 1.4.0-2
xf86-input-vmmouse 13.2.0-2
xf86-video-amdgpu 23.0.0-2.2
xf86-video-ati 1:22.0.0-2.1
xf86-video-dummy 0.4.1-2
xf86-video-fbdev 0.5.0-4
xf86-video-intel 1:2.99.917+923+gb74b67f0-2.2
xf86-video-nouveau 1.0.17-3
xf86-video-sisusb 0.9.7-5
xf86-video-vesa 2.6.0-2
xf86-video-vmware 13.4.0-3
xf86-video-voodoo 1.2.6-2
xfburn 0.7.2-2
xfce4-appfinder 4.18.1-3
xfce4-artwork 0.1.1a_git20110420-6.1
xfce4-battery-plugin 1.1.5-3
xfce4-clipman-plugin 1.6.6-2
xfce4-cpufreq-plugin 1.2.8-3
xfce4-cpugraph-plugin 1.2.10-2
xfce4-dict 0.8.7-1
xfce4-diskperf-plugin 2.7.0-3
xfce4-eyes-plugin 4.6.0-3
xfce4-fsguard-plugin 1.1.3-3
xfce4-genmon-plugin 4.2.0-3
xfce4-mailwatch-plugin 1.3.1-3
xfce4-mount-plugin 1.1.6-3
xfce4-mpc-plugin 0.5.3-3
xfce4-netload-plugin 1.4.1-3
xfce4-notes-plugin 1.11.0-2
xfce4-notifyd 0.9.6-2
xfce4-panel 4.18.6-2
xfce4-places-plugin 1.8.3-3
xfce4-power-manager 4.18.4-2
xfce4-pulseaudio-plugin 0.4.8-2
xfce4-screensaver 4.18.3-2
xfce4-screenshooter 1.11.1-2
xfce4-sensors-plugin 1.4.4-3
xfce4-session 4.18.4-2
xfce4-settings 4.18.6-2
xfce4-smartbookmark-plugin 0.5.2-3
xfce4-systemload-plugin 1.3.2-3
xfce4-taskmanager 1.5.7-2
xfce4-terminal 1.1.3-2
xfce4-time-out-plugin 1.1.3-3
xfce4-timer-plugin 1.7.2-3
xfce4-verve-plugin 2.0.3-3
xfce4-wavelan-plugin 0.6.3-3
xfce4-weather-plugin 0.11.2-2
xfce4-whiskermenu-plugin 2.8.3-2
xfce4-xkb-plugin 0.8.3-3
xfconf 4.18.3-2
xfdesktop 4.18.1-3
xfsprogs 6.10.1-1
xfwm4 4.18.0-3
xfwm4-themes 4.10.0-6
xkeyboard-config 2.42-1
xmlsec 1.3.5-1
xmms2 0.9.3-5
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-server 21.1.13-1
xorg-server-common 21.1.13-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.3-1
xorg-xhost 1.0.9-2
xorg-xinit 1.4.2-2
xorg-xkbcomp 1.4.7-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-2
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xwayland 24.1.2-1
xorg-xwininfo 1.1.6-2
xorgproto 2024.1-2
xvidcore 1.3.7-3
xxhash 0.8.2-1
xz 5.6.2-1
yajl 2.1.0-6
yaourtix 1.9.r4-2.1
yelp 42.2-2
yelp-xsl 42.1-2
yt-dlp 2024.08.06-1
yyjson 0.10.0-1
zbar 0.23.93-1
zenity 4.0.2-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.4.2-2
zlib 1:1.3.1-2
zsh 5.9-5
zstd 1.5.6-1
zvbi 0.2.42-1
zxing-cpp 2.2.1-1
