a52dec 0.8.0-2
glslang 14.3.0-1
glu 9.0.3-2
glyr 1.0.10-6
gmp 6.3.0-2
gnome-desktop 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnupg 2.4.5-5
gnutls 3.8.7-1
gobject-introspection-runtime 1.82.0-1
gperftools 2.15-1
gpgme 1.23.2-6.2
gpm 1.20.7.r38.ge82d1a6-6
grantleetheme 24.08.1-1
graphene 1.10.8-1
graphicsmagick 1.3.45-3
graphite 1:1.3.14-4
grep 3.11-1
groff 1.23.0-7
grub 2:2.12-3.1
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsl 2.8-1
gsm 1.0.22-2
gspell 1.14.0-1
gssdp 1.6.3-2
gssproxy 0.9.2-1
gst-libav 1.24.8-1
gst-plugins-bad 1.24.8-1
gst-plugins-bad-libs 1.24.8-1
gst-plugins-base 1.24.8-1
gst-plugins-base-libs 1.24.8-1
gst-plugins-good 1.24.8-1
gst-plugins-ugly 1.24.8-1
gst-python 1.24.8-1
gstreamer 1.24.8-1
gstreamermm 1.10.0-2
gtest 1.15.2-1
gtk-engine-murrine 0.98.2-4.1
gtk-engines 2.21.0-6
gtk-layer-shell 0.9.0-1
gtk-update-icon-cache 1:4.16.2-1
gtk2 2.24.33-5
gtk3 1:3.24.43-3
gtk4 1:4.16.2-1
gtkmm-4.0 4.16.0-1
gtkmm3 3.24.9-1
gtksourceview4 4.8.4-1
gtkspell3 3.0.10-3
gufw 24.04-2
guile 3.0.10-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
guvcview 2.1.0-4
guvcview-common 2.1.0-4
gvfs 1.56.0-1
gvfs-afc 1.56.0-1
gvfs-goa 1.56.0-1
gvfs-google 1.56.0-1
gvfs-gphoto2 1.56.0-1
gvfs-mtp 1.56.0-1
gvfs-smb 1.56.0-1
gzip 1.13-4
handbrake 1.8.2-1
harfbuzz 9.0.0-1
harfbuzz-icu 9.0.0-1
haveged 1.9.18-2
haveged-openrc 20210505-2
hddtemp 0.3.beta15.53-4
hdparm 9.65-2
hexchat 2.16.2-3
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
http-parser 2.9.4-2
hunspell 1.7.2-2
hunspell-en_us 2020.12.07-5
hwdata 0.387-1
hwloc 2.11.1-1
hyphen 2.8.8-6
iana-etc 20240814-1
icu 75.1-1
ijs 0.35-6
imagemagick 7.1.1.38-3
imath 3.1.12-1
imlib2 1.12.3-2
inetutils 2.5-1
inkscape 1.3.2-12
intel-ucode 20240910-1
inxi 3.3.35.1-1
iproute2 6.11.0-1
iptables 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
iw 6.9-1
jack2 1.9.22-1
jansson 2.14-4
jasper 4.2.4-1
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-8
jfsutils 1.1.15-9
jre-openjdk 22.0.2.u9-1
json-c 0.18-1
json-glib 1.10.0-1
kaccounts-integration 24.08.1-1
karchive 6.6.0-1
karchive5 5.116.0-1
kauth 6.6.0-1
kauth5 5.116.0-1
kbd 2.6.4-3
kbookmarks 6.6.0-1
kbookmarks5 5.116.0-1
kcalendarcore 6.6.0-1
kcmutils 6.6.0-1
kcodecs 6.6.0-1
kcodecs5 5.116.0-1
kcolorscheme 6.6.0-1
kcompletion 6.6.0-1
kcompletion5 5.116.0-1
kconfig 6.6.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.6.0-1
kconfigwidgets5 5.116.0-1
kcontacts 1:6.6.0-1
kcoreaddons 6.6.0-1
kcoreaddons5 5.116.0-1
kcrash 6.6.0-1
kcrash5 5.116.0-1
kdbusaddons 6.6.0-1
kdbusaddons5 5.116.0-1
kdecoration 6.1.5-1
kded5 5.116.0-1
kdenlive 24.08.1-2
kdnssd5 5.116.0-1
kexec-tools 2.0.29-2
keyutils 1.6.3-3
kfilemetadata 6.6.0-1
kglobalaccel 6.6.0-1
kglobalaccel5 5.116.0-1
kguiaddons 6.6.0-1
kguiaddons5 5.116.0-1
ki18n 6.6.0-1
ki18n5 5.116.0-1
kiconthemes 6.6.0-1
kiconthemes5 5.116.0-1
kio 6.6.0-1
kio5 5.116.0-1
kirigami 6.6.0-1
kitemmodels 6.6.0-1
kitemviews 6.6.0-1
kitemviews5 5.116.0-1
kjobwidgets 6.6.0-1
kjobwidgets5 5.116.0-1
kmime 24.08.1-1
kmod 33-3
knewstuff 6.6.0-1
knotifications 6.6.0-1
knotifications5 5.116.0-1
knotifyconfig 6.6.0-1
kodi 21.1-2
kpackage 6.6.0-1
krb5 1.21.3-1
ksanecore 24.08.1-1
kservice 6.6.0-1
kservice5 5.116.0-1
ktextaddons 1.5.4-1
ktexttemplate 6.6.0-1
ktextwidgets 6.6.0-1
ktextwidgets5 5.116.0-1
kwallet 6.6.0-1
kwallet5 5.116.0-1
kwidgetsaddons 6.6.0-1
kwidgetsaddons5 5.116.0-1
kwindowsystem 6.6.0-1
kwindowsystem5 5.116.0-1
kxmlgui 6.6.0-1
kxmlgui5 5.116.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.0-5
lcms2 2.16-1
ldb 2:4.21.0-2.1
leafpad 0.8.19-3
lensfun 1:0.3.4-4
less 1:661-1
lib2geom 1.3-2
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.12-1
lib32-alsa-plugins 1.2.12-1
lib32-artix-archlinux-support 4-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.10.1-1
lib32-dbus 1.14.10-2.1
lib32-e2fsprogs 1.47.1-1.1
lib32-elogind 255.5-1
lib32-expat 2.6.3-1
lib32-flac 1.4.3-2
lib32-fontconfig 2:2.15.0-1
lib32-freetype2 2.13.3-2
lib32-gcc-libs 14.2.1+r134+gab884fffe3fc-1
lib32-gettext 0.22.5-1
lib32-glib2 2.82.1-1
lib32-glibc 2.40+r16+gaa533d58ff-2
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.7-1
lib32-harfbuzz 9.0.0-1
lib32-icu 75.1-1
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libasyncns 1:0.8+r3+g68cd5af-3
lib32-libcap 2.70-1.1
lib32-libdrm 2.4.123-1
lib32-libelf 0.191-1
lib32-libffi 3.4.6-1
lib32-libgcrypt 1.11.0-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.50-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.8-1
lib32-libnghttp2 1.63.0-1
lib32-libnghttp3 1.5.0-1
lib32-libnl 3.10.0-1
lib32-libnsl 2.0.1-1
lib32-libogg 1.3.5-2
lib32-libpcap 1.10.5-2
lib32-libpciaccess 0.18.1-1
lib32-libpng 1.6.44-1
lib32-libpsl 0.21.5-1
lib32-libpulse 17.0-1
lib32-libsndfile 1.2.2-2
lib32-libssh2 1.11.0-2
lib32-libtasn1 4.19.0-2
lib32-libtirpc 1.3.5-1
lib32-libunistring 1.2-1
lib32-libunwind 1.8.1-1
lib32-libvorbis 1.3.7-2
lib32-libx11 1.8.10-1
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.4.36-2.1
lib32-libxcrypt-compat 4.4.36-2.1
lib32-libxcursor 1.2.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxfixes 6.0.1-2
lib32-libxi 1.8.2-1
lib32-libxkbcommon 1.7.0-2
lib32-libxml2 2.13.4-1
lib32-libxrandr 1.5.4-1
lib32-libxrender 0.9.11-2
lib32-libxshmfence 1.3.2-2
lib32-libxss 1.2.4-2
lib32-libxtst 1.2.5-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 18.1.8-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-3
lib32-mesa 1:24.2.3-1
lib32-ncurses 6.5-1.1
lib32-nettle 3.10-1
lib32-nspr 4.35-3
lib32-nss 3.104-1
lib32-openssl 1:3.3.2-1
lib32-opus 1.5.2-1
lib32-p11-kit 0.25.5-1
lib32-pam 1.6.1-1
lib32-pcre2 10.44-1
lib32-sqlite 3.46.1-1.1
lib32-udev 256.1-1
lib32-util-linux 2.40.2-1
lib32-vkd3d 1.11-1
lib32-vulkan-icd-loader 1.3.295-1
lib32-vulkan-intel 1:24.2.3-1
lib32-vulkan-mesa-layers 1:24.2.3-1
lib32-vulkan-radeon 1:24.2.3-1
lib32-wayland 1.23.1-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.6.2-1
lib32-zlib 1.3.1-1
lib32-zstd 1.5.6-1
libabw 0.1.3-4
libaccounts-glib 1.27-2
libaccounts-qt 1.17-1
libadwaita 1:1.6.0-1
libaio 0.3.113-3
libakonadi 24.08.1-1
libao 1.2.2-6
libappindicator-gtk2 12.10.0.r298-4
libarchive 3.7.6-1
libass 0.17.3-1
libassuan 3.0.1-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libatomic_ops 7.8.2-1
libavc1394 0.5.4-6
libavif 1.1.1-2
libavtp 0.2.0-3
libayatana-appindicator 0.5.93-1
libayatana-indicator 0.9.4-1.1
libb2 0.98.1-3
libb64 1.2.1-5
libblockdev 3.1.1-2
libblockdev-crypto 3.1.1-2
libblockdev-fs 3.1.1-2
libblockdev-loop 3.1.1-2
libblockdev-mdraid 3.1.1-2
libblockdev-nvme 3.1.1-2
libblockdev-part 3.1.1-2
libblockdev-swap 3.1.1-2
libbluray 1.3.4-2
libbpf 1.4.3-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libburn 1.5.6-1
libbytesize 2.8-3
libcaca 0.99.beta20-4
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.70-1
libcap-ng 0.8.5-2
libcdio 2.1.0-4
libcdio-paranoia 10.2+2.0.2-1
libcdr 0.1.7-8
libcec 6.0.2-5
libcloudproviders 0.3.6-1
libcmis 0.6.2-2
libcolord 1.4.7-2
libconfig 1.7.3-3
libcups 2:2.4.10-1
libcupsfilters 2.0.0-2
libdaemon 0.14-6
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk2 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdbusmenu-qt5 0.9.3+16.04.20160218-7.1
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.15-2
libdecor 0.2.2-1
libdeflate 1.21-1
libdispatch 5.10-1
libdisplay-info 0.2.0-1
libdmtx 0.7.7-2
libdovi 3.3.1-1
libdrm 2.4.123-1
libdv 1.0.0-11
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libe-book 0.1.3-16
libebur128 1.2.6-2
libedit 20240517_3.1-1
libei 1.3.0-1
libelf 0.191-4
libelogind 255.5-1
libepoxy 1.5.10-3
libepubgen 0.1.1-5
libetonyek 0.1.10-4
libetpan 1.9.4-5
libev 4.33-3
libevdev 1.13.3-1
libevent 2.1.12-4
libexif 0.6.24-3
libexttextcat 3.4.7-1
libfakekey 0.3-3
libfdk-aac 2.0.3-1
libffi 3.4.6-1
libfontenc 1.1.8-1
libfreeaptx 0.1.1-2
libfreehand 0.1.2-5
libftdi 1.5-6
libgcrypt 1.11.0-2
libgdata 0.18.1-3
libgee 0.20.6-2
libgexiv2 0.14.3-1
libgirepository 1.82.0-1
libgit2 1:1.8.1-1
libglvnd 1.7.0-1
libgme 0.6.3-5
libgnomekbd 1:3.28.1-1
libgoa 3.52.0-1
libgpg-error 1.50-1
libgphoto2 2.5.31-2
libgssglue 0.9-1
libgtop 2.41.3-2
libgudev 238-1
libgusb 0.4.9-1
libgxps 0.3.2-5
libhandy 1.8.3-2
libheif 1.18.2-2
libical 3.0.18-2
libice 1.1.1-3
libid3tag 0.16.3-2
libidn 1.42-1
libidn2 2.3.7-1
libiec61883 1.2.0-8
libieee1284 0.2.11-16
libimagequant 4.3.3-1
libimobiledevice 1.3.0-14
libimobiledevice-glue 1.3.0-1
libinih 58-1
libinput 1.26.2-1
libinstpatch 1.1.6-3
libisl 0.27-1
libisofs 1.5.6-1
libixion 0.19.0-3
libjpeg-turbo 3.0.4-1
libjxl 0.11.0-1
libkeybinder3 0.3.2-5
libksane 24.08.1-1
libksba 1.6.7-1
liblangtag 0.6.7-1
liblc3 1.1.1-1
libldac 2.0.2.3-2
libldap 2.6.8-2
liblqr 0.4.3-1
liblrdf 0.6.1-5
libltc 1.3.2-2
libmad 0.15.1b-10
libmanette 0.2.9-1
libmatekbd 1.28.0-1
libmatemixer 1.28.0-1
libmateweather 1.28.0-1
libmbim 1.30.0-1
libmd 1.1.0-2
libmicrodns 0.2.0-2
libmicrohttpd 1.0.1-1
libmikmod 3.3.11.1-7
libmm-glib 1.22.0-1
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmpcdec 1:0.1+r475-6
libmpd 11.8.17-6
libmpeg2 0.5.1-10
libmspack 1:1.11-1
libmspub 0.1.4-16
libmtp 1.1.21-2
libmwaw 0.3.22-3
libmypaint 1.6.1-2
libnatpmp 20230423-3
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnfnetlink 1.0.2-2
libnfs 5.0.3-1
libnftnl 1.2.7-1
libnghttp2 1.63.0-1
libnghttp3 1.5.0-1
libnice 0.1.22-1
libnl 3.10.0-1.1
libnm 1.48.10-1
libnotify 0.8.3-1
libnsl 2.0.1-1
libnumbertext 1.0.11-2
libnvme 1.10-1
libodfgen 0.1.8-3
libogg 1.3.5-2
libomxil-bellagio 0.9.3-5
libopenmpt 0.7.10-1
libopenraw 0.3.7-2
liborcus 0.19.2-3
libp11-kit 0.25.5-1
libpagemaker 0.0.4-4
libpamac 11.6.4-4
libpaper 2.2.5-1
libpcap 1.10.5-2
libpciaccess 0.18.1-2
libpeas 1.36.0-5
libpgm 5.3.128-3
libpipeline 1.5.8-1
libpipewire 1:1.2.4-1
libplacebo 7.349.0-2
libplist 2.6.0-1
libpng 1.6.44-1
libportal 0.8.1-1
libportal-gtk4 0.8.1-1
libppd 2.0.0-2
libproxy 0.5.8-1
libpsl 0.21.5-2
libpulse 17.0-3
libqmi 1.34.0-1
libqrtr-glib 1.2.2-3
libqxp 0.0.2-12
libraqm 0.10.1-2
libraw 0.21.3-1
libraw1394 2.1.2-4
libreoffice-fresh 24.8.1-2
libretls 3.8.1-2
librevenge 0.0.5-3
librsvg 2:2.59.0-1
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.5.5-3
libsecret 0.21.4-1
libshout 1:2.4.6-3
libsigc++ 2.12.1-1
libsigc++-3.0 3.6.0-1
libsixel 1.10.3-6
libsm 1.2.4-2
libsndfile 1.2.2-2
libsodium 1.0.20-1
libsoup 2.74.3-1
libsoup3 3.6.0-1
libsoxr 0.1.3-4
libspectre 0.2.12-2
libspiro 1:20240903-1
libsrtp 1:2.6.0-1
libssh 0.11.1-1
libssh2 1.11.0-1
libstaroffice 0.0.7-3
libstemmer 2.2.0-2
libsynctex 2024.2-3
libsysprof-capture 47.0-1
libtasn1 4.19.0-2
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.7.0-1
libtirpc 1.3.5-1
libtommath 1.3.0-1
libtool 2.5.2+r1+g2fe3a3e2-1
libudev 256.1-1
libunibreak 6.1-1
libunistring 1.2-1
libunrar 1:7.0.9-1
libunwind 1.8.1-3
liburcu 0.14.1-1
liburing 2.7-1
libusb 1.0.27-1
libusb-compat 0.1.8-2
libusbmuxd 2.1.0-1
libutempter 1.2.1-4
libutf8proc 2.9.0-1
libva 2.22.0-1
libva-intel-driver 2.4.1-3
libva-mesa-driver 1:24.2.3-1
libva-vdpau-driver 0.7.4-7
libvdpau 1.5-3
libverto 0.3.2-5
libvisio 0.1.7-11
libvorbis 1.3.7-3
libvpl 2.13.0-1
libvpx 1.14.1-1
libwacom 2.13.0-1
libwbclient 2:4.21.0-2.1
libwebp 1.4.0-2
libwmf 0.2.13-3
libwnck3 43.0-3
libwpd 0.10.3-5
libwpg 0.3.4-2
libwps 0.4.14-2
libx11 1.8.10-1
libxau 1.0.11-3
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.36-2.1
libxcrypt-compat 4.4.36-2.1
libxcursor 1.2.2-1
libxcvt 0.1.2-2
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxext 1.3.6-1.1
libxfce4ui 4.18.6-2
libxfce4util 4.18.2-2.1
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.8-2
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.7.0-2
libxkbcommon-x11 1.7.0-2
libxkbfile 1.1.3-1.1
libxklavier 5.4-5
libxml++2.6 2.42.1-1
libxml2 2.13.4-1
libxmlb 0.3.19-1
libxmu 1.2.1-1
libxnvctrl 560.35.03-1
libxpm 3.5.17-2
libxpresent 1.0.1-2
libxrandr 1.5.4-1
libxrender 0.9.11-2
libxres 1.2.2-2
libxshmfence 1.3.2-2
libxslt 1.1.42-1
libxss 1.2.4-2
libxt 1.3.0-2
libxtst 1.2.5-1
libxv 1.0.12-2
libxvmc 1.0.14-1.1
libxxf86vm 1.1.5-2
libyaml 0.2.5-3
libyuv r2426+464c51a0-1
libzip 1.10.1-2
libzmf 0.0.2-16
licenses 20240728-1
light-locker 1.9.0-5
lightdm 1:1.32.0-6.1
lightdm-gtk-greeter 1:2.0.9-1
lightdm-openrc 20220104-1
lilv 0.24.24-2
links 2.30-1
linux 6.10.10.artix1-1
linux-api-headers 6.10-1
linux-firmware 20240909.552ed9b8-1
linux-firmware-whence 20240909.552ed9b8-1
linux-headers 6.10.10.artix1-1
lirc 1:0.10.2-4
llvm-libs 18.1.8-4.1
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
logrotate 3.22.0-1
lpsolve 5.5.2.11-3
lsb-release 2.0.r53.a86f885-2.1
lsof 4.99.3-2
ltrace 0.7.3-5
lua 5.4.7-1
lua51 5.1.5-12
luajit 2.1.1725453128-1
lutris 0.5.17-5
lv2 1.18.10-1
lvm2 2.03.26-1
lvm2-openrc 20210505-2
lz4 1:1.10.0-2.1
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.0-1
man-pages 6.9.1-1
marco 1.28.1-2
mariadb-libs 11.5.2-1
mate-applets 1.28.0-2
mate-backgrounds 1.28.0-2
mate-control-center 1.28.1-1
mate-desktop 1.28.2-2
mate-icon-theme 1.28.0-2
mate-icon-theme-faenza 1.20.0-4
mate-media 1.28.1-2
mate-menus 1.28.0-3
mate-netbook 1.27.0-3
mate-notification-daemon 1.28.0-2
mate-panel 1.28.2-1
mate-polkit 1.28.1-2
mate-power-manager 1.28.1-2
mate-screensaver 1.28.0-3
mate-sensors-applet 1.28.0-3
mate-session-manager 1.28.0-2
